mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.038332859675089516,0.0012468314775848535,0.0023342768351236978,0.00047142736344104794,0.6,0.5,0.0001,3,1,100,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.8}",0.9326424870466321,0.9119170984455959,0.9168831168831169,0.9204809007917816,0.0088352879581851,6069
0.03366724650065104,0.001246916698136545,0.0013327598571777344,0.000472721618177299,0.6,0.5,0.0001,3,1,100,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 1.0}",0.9300518134715026,0.9196891191709845,0.9246753246753247,0.9248054191059372,0.004231552253579032,4378
0.004999637603759766,3.371747880871523e-07,0.0013332366943359375,0.00047137035374583886,0.6,0.5,0.0001,3,5,5,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 5, 'subsample': 0.6}",0.9248704663212435,0.9015544041450777,0.9168831168831169,0.9144359957831459,0.009674743411210758,8153
0.005334218343098958,0.0004711456107702375,0.0016662279764811199,0.000471314409210715,0.6,0.5,0.0001,3,5,5,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 5, 'subsample': 0.8}",0.9300518134715026,0.9119170984455959,0.9246753246753247,0.9222147455308076,0.007605165330770716,5183
0.004666646321614583,0.0004714266399769444,0.0020002524058024087,5.619579801452538e-07,0.6,0.5,0.0001,3,5,5,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 5, 'subsample': 1.0}",0.927461139896373,0.9145077720207254,0.922077922077922,0.9213489446650067,0.00531325329604316,5474
0.006666421890258789,0.0004715389511856095,0.001668691635131836,0.00047255408423504063,0.6,0.5,0.0001,3,5,10,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 10, 'subsample': 0.6}",0.9248704663212435,0.9067357512953368,0.9194805194805195,0.9170289123656999,0.007603716431315537,7308
0.006000200907389323,4.052336624139774e-07,0.0019997755686442056,2.9736021254650284e-07,0.6,0.5,0.0001,3,5,10,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 10, 'subsample': 0.8}",0.9300518134715026,0.9145077720207254,0.935064935064935,0.9265415068523876,0.008751797054575168,3681
0.0059998830159505205,8.778064264605254e-07,0.0016668637593587239,0.00047092078736172264,0.6,0.5,0.0001,3,5,10,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 10, 'subsample': 1.0}",0.9248704663212435,0.9196891191709845,0.9168831168831169,0.9204809007917816,0.0033085370747970057,6069
0.00833288828531901,0.0004714268007468411,0.002000888188680013,8.104673248279548e-07,0.6,0.5,0.0001,3,5,15,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 15, 'subsample': 0.6}",0.927461139896373,0.9067357512953368,0.9246753246753247,0.9196240719556781,0.009184109417695064,6260
0.018000046412150066,0.011344055433395579,0.002666950225830078,0.00047052742684294406,0.6,0.5,0.0001,3,5,15,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 15, 'subsample': 0.8}",0.9248704663212435,0.9119170984455959,0.9376623376623376,0.9248166341430589,0.010510518826692005,4208
