,Title,Author,Year,Rating,Raters,Genres
35,Cell (Mass Market Paperback),Stephen King,2006,3.66,211484,"Horror,Fiction,Horror,Thriller,Science Fiction,Apocalyptic,Fantasy,Science Fiction,Science Fiction,Suspense"
36,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,1988,4.23,519619,"Horror,Fiction,Thriller,Mystery,Mystery,Classics,Thriller,Suspense,Novels,Adult"
37,"The Girl with All the Gifts (The Girl with All the Gifts, #1)",M.R. Carey,2014,3.95,211452,"Horror,Fiction,Science Fiction,Horror,Science Fiction,Apocalyptic,Fantasy,Audiobook,Thriller,Adult"
38,My Best Friend's Exorcism (Kindle Edition),Grady Hendrix,2016,3.97,72216,"Horror,Fiction,Young Adult,Fantasy,Audiobook,Fantasy,Thriller,Fantasy,Adult,Humor"
39,Horns (Hardcover),Joe Hill,2009,3.93,108986,"Horror,Fiction,Fantasy,Thriller,Mystery,Fantasy,Fantasy,Adult,Audiobook,Adult Fiction"
40,The Troop (Hardcover),Nick Cutter,2014,3.83,53685,"Horror,Fiction,Thriller,Science Fiction,Audiobook,Adult,Mystery,Adventure,Thriller,Adult Fiction"
41,The Picture of Dorian Gray (Paperback),Oscar Wilde,1890,4.11,1289519,"Fiction,Classics,Horror,Fantasy,Gothic,Literature,Novels,Literature,LGBT,Classics"
42,The Turn of the Screw (Paperback),Henry James,1898,3.4,137125,"Classics,Horror,Fiction,Gothic,Mystery,Audiobook,Literature,Literature,Paranormal,Fantasy"
43,"Something Wicked This Way Comes (Green Town, #2)",Ray Bradbury,1962,3.92,119175,"Horror,Fantasy,Fiction,Classics,Science Fiction,Young Adult,Holiday,Audiobook,Mystery,Science Fiction Fantasy"
44,Bag of Bones (Paperback),Stephen King,1998,3.91,188103,"Horror,Fiction,Thriller,Mystery,Fantasy,Fantasy,Suspense,Fantasy,Paranormal,Audiobook"
45,The Tommyknockers (Mass Market Paperback),Stephen King,1987,3.58,141437,"Horror,Fiction,Science Fiction,Thriller,Fantasy,Science Fiction,Fantasy,Fantasy,Suspense,Audiobook"
46,Thinner (Mass Market Paperback),Richard Bachman,1984,3.76,195751,"Horror,Fiction,Thriller,Fantasy,Fantasy,Fantasy,Mystery,Suspense,Audiobook,Novels"
47,Under the Dome (Hardcover),Stephen King,2009,3.91,282704,"Horror,Fiction,Science Fiction,Thriller,Fantasy,Mystery,Audiobook,Suspense,Adult,Science Fiction"
