Title,Author,Year,Rating,Raters
From a Buick 8 (Hardcover),Stephen King,Missing,3.47,64828
Perfume: The Story of a Murderer (Paperback),Patrick Süskind,Missing,4.03,404204
The Call of Cthulhu (Kindle Edition),H.P. Lovecraft,Missing,3.99,49097
"Black House (The Talisman, #2)",Stephen King,Missing,4.02,58738
Kill Creek (Paperback),Scott   Thomas,Missing,3.78,15570
The Fisherman (Paperback),John  Langan,Missing,3.94,16532
"The Waste Lands (The Dark Tower, #3)",Stephen King,Missing,4.24,204610
Ring Shout (Hardcover),P. Djèlí Clark,Missing,4.06,22461
"The Witching Hour (Lives of the Mayfair Witches, #1)",Anne Rice,Missing,4.11,109537
The Girl Next Door (Paperback),Jack Ketchum,Missing,3.94,31045
"Hannibal (Hannibal Lecter, #3)",Thomas  Harris,Missing,3.80,99392
"Ring (Ring, #1)",Kōji Suzuki,Missing,3.81,19168
Missing,Missing,Missing,0,0
Missing,Missing,Missing,0,0
Haunted (Paperback),Chuck Palahniuk,Missing,3.60,97047
Just After Sunset (Hardcover),Stephen King,Missing,3.87,51235
Joyland (Paperback),Stephen King,Missing,3.93,141449
The Yellow Wall-Paper (Paperback),Charlotte Perkins Gilman,Missing,4.12,144379
What Moves the Dead (Hardcover),T. Kingfisher,Missing,4.00,12248
"Jaws (Jaws, #1)",Peter Benchley,Missing,3.96,152004
"Days Gone Bye (The Walking Dead, #1)",Robert Kirkman,Missing,4.27,219344
"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,Missing,3.84,190261
The Elementals (Paperback),Michael McDowell,Missing,4.02,14948
The Silent Companions (Paperback),Laura  Purcell,Missing,3.90,26637
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,Missing,3.92,1157223
A Monster Calls (Paperback),Patrick Ness,Missing,4.35,244276
Phantoms (Mass Market Paperback),Dean Koontz,Missing,3.96,70408
Devolution: A Firsthand Account of the Rainier Sasquatch Massacre (Hardcover),Max Brooks,Missing,3.92,37373
The Phantom of the Opera (Paperback),Gaston Leroux,Missing,3.96,221150
"Summer of Night (Seasons of Horror, #1)",Dan Simmons,Missing,4.04,23474
The Legend of Sleepy Hollow (Paperback),Washington Irving,Missing,3.72,64599
The Deep (Hardcover),Nick Cutter,Missing,3.40,18586
The Ritual (Paperback),Adam Nevill,Missing,3.60,18008
Meddling Kids (Hardcover),Edgar Cantero,Missing,3.55,27108
The Road (Hardcover),Cormac McCarthy,Missing,3.98,812282
Plain Bad Heroines (Hardcover),Emily M. Danforth,Missing,3.67,18175
Her Body and Other Parties: Stories (Paperback),Carmen Maria Machado,Missing,3.88,67150
"Head Games (Locke & Key, #2)",Joe Hill,Missing,4.32,43464
"The Tale of the Body Thief (The Vampire Chronicles, #4)",Anne Rice,Missing,3.74,83575
"The Year of the Witching (Bethel, #1)",Alexis Henderson,Missing,3.82,27508
"Alice (The Chronicles of Alice, #1)",Christina Henry,Missing,3.86,33694
"Books of Blood: Volumes One to Three (Books of Blood, #1-3)",Clive Barker,Missing,4.18,26506
Come Closer (Paperback),Sara Gran,Missing,3.63,17750
Hearts in Atlantis (Paperback),Stephen King,Missing,3.84,90273
"Wizard and Glass (The Dark Tower, #4)",Stephen King,Missing,4.25,182939
Carrion Comfort (Mass Market Paperback),Dan Simmons,Missing,3.90,21337
The Library at Mount Char (Paperback),Scott  Hawkins,Missing,4.09,44053
House of Hollow (Hardcover),Krystal Sutherland,Missing,4.07,44410
"The Twelve (The Passage, #2)",Justin Cronin,Missing,4.01,94389
The Sun Down Motel (Hardcover),Simone St. James,Missing,4.03,113064
Dead Silence (Hardcover),S.A. Barnes,Missing,3.81,10244
"The Fall (The Strain Trilogy, #2)",Guillermo del Toro,Missing,3.82,37560
"Books of Blood, Volume One (Books of Blood, #1)",Clive Barker,Missing,4.04,23821
The Tell-Tale Heart (Hardcover),Edgar Allan Poe,Missing,4.24,78107
The Wasp Factory (Paperback),Iain Banks,Missing,3.79,88083
11/22/63 (Hardcover),Stephen King,Missing,4.32,485314
The Running Man (Paperback),Stephen King,Missing,3.89,118367
The Tell-Tale Heart and Other Writings (Mass Market Paperback),Edgar Allan Poe,Missing,4.19,234593
Final Girls (Hardcover),Riley Sager,Missing,3.84,134577
"Clown in a Cornfield (Clown in a Cornfield, #1)",Adam Cesare,Missing,3.76,14038
The Lottery (Paperback),Shirley Jackson,Missing,4.07,74861
The Island of Dr. Moreau (Paperback),H.G. Wells,Missing,3.73,109597
The Zombie Survival Guide: Complete Protection from the Living Dead (Paperback),Max Brooks,Missing,3.85,101029
We Sold Our Souls (Kindle Edition),Grady Hendrix,Missing,3.79,14735
Missing,Missing,Missing,0,0
Missing,Missing,Missing,0,0
The Luminous Dead (Kindle Edition),Caitlin  Starling,Missing,3.69,10905
'Salem's Lot (Hardcover),Stephen King,Missing,4.26,104876
"Abraham Lincoln: Vampire Hunter (Abraham Lincoln: Vampire Hunter, #1)",Seth Grahame-Smith,Missing,3.71,133784
"Memnoch the Devil (The Vampire Chronicles, #5)",Anne Rice,Missing,3.76,78811
"Relic (Pendergast, #1)",Douglas Preston,Missing,4.04,101668
Strange Weather (Hardcover),Joe Hill,Missing,3.86,22125
The Book of Accidents (Hardcover),Chuck Wendig,Missing,3.78,15215
The Book of Accidents (Hardcover),Chuck Wendig,Missing,3.78,15215
"Wolves of the Calla (The Dark Tower, #5)",Stephen King,Missing,4.19,170942
"Crown of Shadows (Locke & Key, #3)",Joe Hill,Missing,4.40,37631
"The Dark Tower (The Dark Tower, #7)",Stephen King,Missing,4.27,160520
"A Dowry of Blood (A Dowry of Blood, #1)",S.T. Gibson,Missing,4.17,16511
The Fall of the House of Usher: An Edgar Allan Poe Short Story (Paperback),Edgar Allan Poe,Missing,3.92,52861
"The Girl from the Well (The Girl from the Well, #1)",Rin Chupeco,Missing,3.80,11209
"The Forest of Hands and Teeth (The Forest of Hands and Teeth, #1)",Carrie Ryan,Missing,3.60,84201
Penpal (Paperback),Dathan Auerbach,Missing,3.88,19944
Night of the Mannequins (Paperback),Stephen Graham Jones,Missing,3.38,11445
"Asylum (Asylum, #1)",Madeleine Roux,Missing,3.64,52943
"The Butterfly Garden  (The Collector, #1)",Dot Hutchison,Missing,4.07,154354
"The Monstrumologist (The Monstrumologist, #1)",Rick Yancey,Missing,3.90,18745
"Song of Susannah (The Dark Tower, #6)",Stephen King,Missing,3.99,146338
The Bachman Books (Paperback),Richard Bachman,Missing,4.14,70394
The Best of H.P. Lovecraft: Bloodcurdling Tales of Horror and the Macabre (Paperback),H.P. Lovecraft,Missing,4.31,28742
