,Title,Author,Year,Rating,Raters,Genres
14,World War Z: An Oral History of the Zombie War (Hardcover),Max Brooks,2006,4.01,491923,"Horror,Fiction,Horror,Science Fiction,Fantasy,Apocalyptic,Science Fiction,Audiobook,Science Fiction,War"
15,We Have Always Lived in the Castle (Paperback),Shirley Jackson,1962,3.96,176357,"Horror,Classics,Fiction,Gothic,Mystery,Audiobook,Thriller,Adult,Thriller,Novels"
16,Cujo (Paperback),Stephen King,1981,3.76,260211,"Horror,Fiction,Thriller,Suspense,Animals,Adult,Audiobook,Fantasy,Novels,Animals"
17,NOS4A2 (Hardcover),Joe Hill,2013,4.08,117462,"Horror,Fiction,Fantasy,Thriller,Audiobook,Fantasy,Paranormal,Fantasy,Adult,Mystery"
18,The Exorcist (Mass Market Paperback),William Peter Blatty,1971,4.19,212486,"Horror,Fiction,Classics,Fantasy,Thriller,Fantasy,Fantasy,Religion,Audiobook,Adult"
19,"Bird Box (Bird Box, #1)",Josh Malerman,2014,4.04,171500,"Horror,Fiction,Thriller,Science Fiction,Mystery,Science Fiction,Apocalyptic,Audiobook,Adult,Suspense"
20,Coraline (Paperback),Neil Gaiman,2002,4.09,605034,"Fantasy,Horror,Fiction,Young Adult,Childrens,Childrens,Audiobook,Fantasy,Adventure,Mystery"
21,Heart-Shaped Box (Hardcover),Joe Hill,2007,3.84,124537,"Horror,Fiction,Thriller,Fantasy,Paranormal,Fantasy,Fantasy,Mystery,Audiobook,Adult"
22,Needful Things (Paperback),Stephen King,1991,3.95,233602,"Horror,Fiction,Thriller,Fantasy,Fantasy,Mystery,Fantasy,Audiobook,Suspense,Adult"
23,Christine (Paperback),Stephen King,1983,3.82,224616,"Horror,Fiction,Thriller,Fantasy,Fantasy,Fantasy,Mystery,Audiobook,Suspense,Adult"
24,Dr. Jekyll and Mr. Hyde (Paperback),Robert Louis Stevenson,1886,3.83,497230,"Classics,Horror,Fiction,Science Fiction,Mystery,Gothic,Fantasy,Literature,Academic,Literature"
25,The Southern Book Club's Guide to Slaying Vampires (Kindle Edition),Grady Hendrix,2020,3.82,149604,"Horror,Fiction,Fantasy,Paranormal,Audiobook,Fantasy,Thriller,Adult,Mystery,Fantasy"
26,Let the Right One In (Hardcover),John Ajvide Lindqvist,2004,4.04,102961,"Horror,Fiction,Paranormal,Fantasy,Fantasy,Thriller,Fantasy,Mystery,Cultural,European Literature"
27,Night Shift (Paperback),Stephen King,1978,4.02,166713,"Horror,Short Stories,Fiction,Thriller,Fantasy,Mystery,Anthologies,Fantasy,Suspense,Fantasy"
28,The Only Good Indians (Hardcover),Stephen Graham Jones,2020,3.72,56279,"Horror,Fiction,Thriller,Audiobook,Adult,Fantasy,Mystery,Fantasy,Contemporary,Thriller"
29,The Outsider (Hardcover),Stephen King,2018,3.99,253344,"Horror,Fiction,Thriller,Mystery,Mystery,Audiobook,Thriller,Fantasy,Fantasy,Suspense"
30,"Rosemary's Baby (Rosemary's Baby, #1)",Ira Levin,1967,4.02,128443,"Horror,Fiction,Classics,Thriller,Mystery,Fantasy,Fantasy,Fantasy,Audiobook,Suspense"
31,A Head Full of Ghosts (Hardcover),Paul Tremblay,2015,3.8,67033,"Horror,Fiction,Thriller,Mystery,Fantasy,Audiobook,Adult,Suspense,Fantasy,Thriller"
32,Firestarter (Mass Market Paperback),Stephen King,1980,3.91,212803,"Horror,Fiction,Thriller,Science Fiction,Fantasy,Fantasy,Suspense,Fantasy,Adult,Audiobook"
33,The Dead Zone (Mass Market Paperback),Stephen King,1979,3.95,207097,"Horror,Fiction,Thriller,Fantasy,Science Fiction,Fantasy,Mystery,Fantasy,Suspense,Audiobook"
34,Horrorstör (Paperback),Grady Hendrix,2014,3.66,62642,"Horror,Fiction,Humor,Mystery,Fantasy,Thriller,Adult,Fantasy,Audiobook,Paranormal"
35,Cell (Mass Market Paperback),Stephen King,2006,3.66,211514,"Horror,Fiction,Horror,Thriller,Science Fiction,Apocalyptic,Fantasy,Science Fiction,Science Fiction,Suspense"
36,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,1988,4.23,519711,"Horror,Fiction,Thriller,Mystery,Mystery,Classics,Thriller,Suspense,Novels,Adult"
37,"The Girl with All the Gifts (The Girl with All the Gifts, #1)",M.R. Carey,2014,3.95,211485,"Horror,Fiction,Science Fiction,Horror,Science Fiction,Apocalyptic,Fantasy,Audiobook,Thriller,Adult"
38,My Best Friend's Exorcism (Kindle Edition),Grady Hendrix,2016,3.97,72303,"Horror,Fiction,Young Adult,Fantasy,Audiobook,Fantasy,Thriller,Fantasy,Adult,Humor"
39,Horns (Hardcover),Joe Hill,2009,3.93,108997,"Horror,Fiction,Fantasy,Thriller,Mystery,Fantasy,Fantasy,Adult,Audiobook,Adult Fiction"
40,The Troop (Hardcover),Nick Cutter,2014,3.83,53737,"Horror,Fiction,Thriller,Science Fiction,Audiobook,Adult,Mystery,Adventure,Thriller,Adult Fiction"
41,The Picture of Dorian Gray (Paperback),Oscar Wilde,1890,4.11,1290220,"Fiction,Classics,Horror,Fantasy,Gothic,Literature,Novels,Literature,LGBT,Classics"
42,The Turn of the Screw (Paperback),Henry James,1898,3.4,137188,"Classics,Horror,Fiction,Gothic,Mystery,Audiobook,Literature,Literature,Paranormal,Fantasy"
43,"Something Wicked This Way Comes (Green Town, #2)",Ray Bradbury,1962,3.92,119212,"Horror,Fantasy,Fiction,Classics,Science Fiction,Young Adult,Holiday,Audiobook,Mystery,Science Fiction Fantasy"
44,Bag of Bones (Paperback),Stephen King,1998,3.91,188128,"Horror,Fiction,Thriller,Mystery,Fantasy,Fantasy,Suspense,Fantasy,Paranormal,Audiobook"
45,The Tommyknockers (Mass Market Paperback),Stephen King,1987,3.58,141468,"Horror,Fiction,Science Fiction,Thriller,Fantasy,Science Fiction,Fantasy,Fantasy,Suspense,Audiobook"
46,Thinner (Mass Market Paperback),Richard Bachman,1984,3.76,195782,"Horror,Fiction,Thriller,Fantasy,Fantasy,Fantasy,Mystery,Suspense,Audiobook,Novels"
47,Under the Dome (Hardcover),Stephen King,2009,3.91,282751,"Horror,Fiction,Science Fiction,Thriller,Fantasy,Mystery,Audiobook,Suspense,Adult,Science Fiction"
48,The Final Girl Support Group (Hardcover),Grady Hendrix,2021,3.56,81371,"Horror,Thriller,Fiction,Mystery,Thriller,Adult,Audiobook,Contemporary,Suspense,Adult Fiction"
49,The Institute (Hardcover),Stephen King,2019,4.2,216734,"Horror,Fiction,Thriller,Science Fiction,Fantasy,Audiobook,Mystery,Fantasy,Thriller,Adult"
52,The Dark Half (Paperback),Stephen King,1989,3.8,134645,"Horror,Fiction,Thriller,Fantasy,Fantasy,Mystery,Audiobook,Suspense,Fantasy,Novels"
53,Skeleton Crew (Paperback),Stephen King,1985,3.97,118848,"Horror,Short Stories,Fiction,Fantasy,Thriller,Anthologies,Fantasy,Science Fiction,Audiobook,Anthologies"
54,"The Gunslinger (The Dark Tower, #1)",Stephen King,1982,3.93,568255,"Fantasy,Fiction,Horror,Science Fiction,Westerns,Audiobook,Adventure,Science Fiction Fantasy,Thriller,Apocalyptic"
55,"The Passage (The Passage, #1)",Justin Cronin,2010,4.04,201724,"Horror,Fiction,Science Fiction,Fantasy,Apocalyptic,Paranormal,Science Fiction,Thriller,Science Fiction,Fantasy"
56,"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,1981,4.05,310056,"Horror,Fiction,Thriller,Mystery,Mystery,Thriller,Suspense,Novels,Classics,Adult"
57,Carmilla (Paperback),J. Sheridan Le Fanu,1872,3.83,76696,"Classics,Horror,Gothic,Fiction,Paranormal,Fantasy,LGBT,LGBT,Fantasy,Audiobook"
58,I Am Legend (Kindle Edition),Richard Matheson,1954,4.06,118330,"Horror,Science Fiction,Fiction,Classics,Apocalyptic,Paranormal,Fantasy,Science Fiction,Audiobook,Science Fiction"
59,Gerald's Game (Hardcover),Stephen King,1992,3.56,149727,"Horror,Fiction,Thriller,Suspense,Adult,Mystery,Audiobook,Thriller,Novels,Fantasy"
60,Desperation (Mass Market Paperback),Stephen King,1996,3.84,133054,"Horror,Fiction,Thriller,Fantasy,Suspense,Fantasy,Fantasy,Audiobook,Novels,Adult"
61,Insomnia (Paperback),Stephen King,1994,3.83,147008,"Horror,Fiction,Fantasy,Thriller,Fantasy,Mystery,Suspense,Fantasy,Audiobook,Science Fiction"
62,The Mist (Paperback),Stephen King,1980,3.95,137191,"Horror,Fiction,Thriller,Fantasy,Science Fiction,Fantasy,Mystery,Audiobook,Short Stories,Fantasy"
63,Dreamcatcher (Paperback),Stephen King,2001,3.64,166004,"Horror,Fiction,Science Fiction,Thriller,Fantasy,Science Fiction,Fantasy,Mystery,Fantasy,Suspense"
64,The Green Mile (Paperback),Stephen King,1996,4.46,289083,"Horror,Fiction,Fantasy,Thriller,Mystery,Classics,Mystery,Fantasy,Fantasy,Historical"
65,Tender is the Flesh (Paperback),Agustina Bazterrica,2017,3.88,83976,"Horror,Fiction,Science Fiction,Science Fiction,Adult,Thriller,Audiobook,Contemporary,Dark,Speculative Fiction"
66,"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,1985,4.08,189862,"Horror,Fantasy,Paranormal,Fiction,Fantasy,Fantasy,Gothic,Fantasy,Historical,Adult"
67,American Psycho (Paperback),Bret Easton Ellis,1991,3.82,276773,"Fiction,Horror,Classics,Thriller,Mystery,Contemporary,Novels,Literature,Mystery,Literature"
68,The Woman in Black (Paperback),Susan         Hill,1983,3.74,60164,"Horror,Fiction,Gothic,Classics,Mystery,Historical,Paranormal,Fantasy,Horror,Historical"
69,Ghost Story (Mass Market Paperback),Peter Straub,1979,3.94,74445,"Horror,Fiction,Fantasy,Paranormal,Mystery,Thriller,Fantasy,Fantasy,Suspense,Horror"
70,"The Strain (The Strain Trilogy, #1)",Guillermo del Toro,2009,3.79,83735,"Horror,Fiction,Paranormal,Fantasy,Science Fiction,Thriller,Fantasy,Fantasy,Audiobook,Apocalyptic"
71,The Long Walk (Mass Market Paperback),Richard Bachman,1979,4.1,158041,"Horror,Fiction,Science Fiction,Thriller,Science Fiction,Fantasy,Audiobook,Adult,Suspense,Novels"
72,Through the Woods (Hardcover),Emily Carroll,2014,3.94,74668,"Sequential Art,Horror,Sequential Art,Fantasy,Short Stories,Young Adult,Fiction,Graphic Novels Comics,Fantasy,Gothic"
73,I Am Legend and Other Stories (Paperback),Richard Matheson,1954,4.0,126726,"Horror,Fiction,Science Fiction,Paranormal,Short Stories,Fantasy,Apocalyptic,Classics,Science Fiction,Horror"
74,"Into the Drowning Deep (Rolling in the Deep, #1)",Mira Grant,2017,3.99,25663,"Horror,Fantasy,Science Fiction,Fiction,LGBT,Adult,Thriller,Mythology,Audiobook,LGBT"
75,Hell House (Hardcover),Richard Matheson,1971,3.76,45250,"Horror,Fiction,Fantasy,Classics,Paranormal,Mystery,Fantasy,Thriller,Fantasy,Audiobook"
76,The Hellbound Heart (Paperback),Clive Barker,1986,4.06,49134,"Horror,Fiction,Fantasy,Novella,Fantasy,Fantasy,Classics,Short Stories,Novels,Fantasy"
77,The Amityville Horror (Mass Market Paperback),Jay Anson,1977,3.84,121327,"Horror,Fiction,Fantasy,Thriller,Classics,Audiobook,Fantasy,Crime,Paranormal,Mystery"
78,"Full Dark, No Stars (Hardcover)",Stephen King,2011,4.07,102903,"Horror,Short Stories,Fiction,Thriller,Mystery,Suspense,Audiobook,Fantasy,Anthologies,Mystery"
79,The Terror (Hardcover),Dan Simmons,2007,4.06,54885,"Horror,Historical,Fiction,Fantasy,Thriller,Historical,Adventure,Mystery,Audiobook,Adventure"
80,Revival (Hardcover),Stephen King,2014,3.8,114756,"Horror,Fiction,Thriller,Fantasy,Mystery,Audiobook,Science Fiction,Fantasy,Fantasy,Suspense"
81,Different Seasons (Mass Market Paperback),Stephen King,1982,4.35,193280,"Horror,Fiction,Short Stories,Thriller,Mystery,Fantasy,Drama,Classics,Suspense,Anthologies"
82,Everything's Eventual (Paperback),Stephen King,2002,3.97,95025,"Horror,Short Stories,Fiction,Fantasy,Thriller,Anthologies,Fantasy,Audiobook,Anthologies,Short Stories"
83,The Ruins (Hardcover),Scott        Smith,2006,3.64,41304,"Horror,Fiction,Thriller,Mystery,Suspense,Adventure,Audiobook,Adult,Fantasy,Thriller"
84,The Girl Who Loved Tom Gordon (Paperback),Stephen King,1999,3.62,148697,"Horror,Fiction,Thriller,Suspense,Mystery,Fantasy,Audiobook,Adventure,Adventure,Adult"
85,Four Past Midnight (Paperback),Stephen King,1990,3.94,104342,"Horror,Fiction,Short Stories,Thriller,Fantasy,Mystery,Suspense,Fantasy,Anthologies,Science Fiction"
86,I'm Thinking of Ending Things (Kindle Edition),Iain Reid,2016,3.59,115745,"Horror,Fiction,Thriller,Mystery,Thriller,Audiobook,Adult,Contemporary,Suspense,Thriller"
87,Annihilation (Paperback),Jeff VanderMeer,2014,3.74,195490,"Science Fiction,Fiction,Horror,Fantasy,Mystery,Science Fiction,Audiobook,Science Fiction Fantasy,Adult,Thriller"
88,The Cabin at the End of the World (Hardcover),Paul Tremblay,2018,3.3,51067,"Horror,Fiction,Thriller,Mystery,Audiobook,Adult,Suspense,Thriller,LGBT,Science Fiction"
89,"Anna Dressed in Blood (Anna, #1)",Kendare Blake,2011,3.91,102969,"Young Adult,Horror,Fantasy,Fantasy,Paranormal,Romance,Fantasy,Fiction,Fantasy,Mystery"
90,"Locke & Key, Volume 1: Welcome to Lovecraft (Hardcover)",Joe Hill,2008,4.15,92436,"Sequential Art,Horror,Sequential Art,Fantasy,Fiction,Graphic Novels Comics,Mystery,Comics,Fantasy,Fantasy"
91,Bunny (Hardcover),Mona Awad,2019,3.57,75309,"Horror,Fiction,Contemporary,Thriller,Fantasy,Adult,Magical Realism,Literary Fiction,Audiobook,Mystery"
92,Duma Key (Hardcover),Stephen King,2008,3.96,114061,"Horror,Fiction,Thriller,Fantasy,Mystery,Fantasy,Audiobook,Suspense,Fantasy,Novels"
93,Nightmares and Dreamscapes (Paperback),Stephen King,1993,3.95,79023,"Horror,Short Stories,Fiction,Fantasy,Thriller,Anthologies,Mystery,Fantasy,Anthologies,Suspense"
94,"The Talisman (The Talisman, #1)",Stephen King,1984,4.13,120207,"Horror,Fantasy,Fiction,Thriller,Adventure,Mystery,Audiobook,Fantasy,Fantasy,Science Fiction"
95,Home Before Dark (Hardcover),Riley Sager,2020,4.09,134000,"Horror,Thriller,Mystery,Thriller,Fiction,Audiobook,Adult,Fantasy,Suspense,Paranormal"
96,Rose Madder (Paperback),Stephen King,1995,3.73,105986,"Horror,Fiction,Thriller,Fantasy,Suspense,Fantasy,Fantasy,Audiobook,Mystery,Adult"
97,Dolores Claiborne (ebook),Stephen King,1992,3.9,140974,"Horror,Fiction,Thriller,Mystery,Suspense,Mystery,Audiobook,Thriller,Adult,Drama"
98,Wilder Girls (Hardcover),Rory Power,2019,3.48,72352,"Horror,Young Adult,LGBT,Mystery,Fiction,Science Fiction,LGBT,Science Fiction,Fantasy,LGBT"
99,The Last House on Needless Street (Hardcover),Catriona Ward,2021,3.86,53900,"Horror,Thriller,Mystery,Fiction,Thriller,Audiobook,Adult,Mystery,Gothic,Contemporary"
100,"The Queen of the Damned (The Vampire Chronicles, #3)",Anne Rice,1988,3.9,145276,"Horror,Fantasy,Paranormal,Fiction,Fantasy,Fantasy,Fantasy,Gothic,Adult,Science Fiction Fantasy"
101,"John Dies at the End (John Dies at the End, #1)",David  Wong,2007,3.89,68898,"Horror,Fiction,Humor,Fantasy,Science Fiction,Humor,Fantasy,Fantasy,Audiobook,Fantasy"
104,"My Heart Is a Chainsaw (The Lake Witch Trilogy, #1)",Stephen Graham Jones,2021,3.58,21445,"Horror,Fiction,Thriller,Mystery,Adult,Audiobook,Thriller,Contemporary,Adult Fiction,Holiday"
105,The Ballad of Black Tom (Paperback),Victor LaValle,2016,3.88,22642,"Horror,Fantasy,Fiction,Novella,Historical,Fantasy,Horror,Historical,Audiobook,Adult"
106,Nothing But Blackened Teeth (Hardcover),Cassandra Khaw,2021,2.74,23496,"Horror,Fiction,Novella,Fantasy,Adult,Fantasy,Audiobook,Paranormal,Short Stories,Cultural"
107,The Hollow Places (Paperback),T. Kingfisher,2020,3.79,19743,"Horror,Fantasy,Fiction,Thriller,Adult,Mystery,Audiobook,Fantasy,Science Fiction,Thriller"
108,The Graveyard Book (Hardcover),Neil Gaiman,2008,4.15,500327,"Fantasy,Young Adult,Fiction,Horror,Childrens,Fantasy,Childrens,Audiobook,Paranormal,Fantasy"
109,The Twisted Ones (Hardcover),T. Kingfisher,2019,3.64,19337,"Horror,Fantasy,Fiction,Mystery,Thriller,Adult,Fantasy,Audiobook,Fantasy,Thriller"
110,Lovecraft Country (ebook),Matt Ruff,2016,4.02,39560,"Horror,Fantasy,Fiction,Historical,Science Fiction,Historical,Audiobook,Horror,Fantasy,Race"
111,At the Mountains of Madness (Paperback),H.P. Lovecraft,1931,3.84,45344,"Horror,Fiction,Classics,Science Fiction,Fantasy,Horror,Short Stories,Audiobook,Fantasy,Novels"
112,Hex (Paperback),Thomas Olde Heuvelt,2013,3.73,29378,"Horror,Fiction,Fantasy,Thriller,Paranormal,Fantasy,Fantasy,Mystery,Adult,Audiobook"
113,"Feed (Newsflesh, #1)",Mira Grant,2010,3.85,56259,"Horror,Horror,Science Fiction,Fiction,Science Fiction,Apocalyptic,Young Adult,Fantasy,Thriller,Audiobook"
114,If It Bleeds (Kindle Edition),Stephen King,2020,4.01,74293,"Horror,Fiction,Short Stories,Thriller,Mystery,Audiobook,Fantasy,Adult,Suspense,Novella"
115,Later (Kindle Edition),Stephen King,2021,4.0,103156,"Horror,Fiction,Thriller,Mystery,Audiobook,Mystery,Fantasy,Fantasy,Fantasy,Thriller"
116,Imaginary Friend (Hardcover),Stephen Chbosky,2019,3.54,42473,"Horror,Fiction,Thriller,Mystery,Adult,Fantasy,Audiobook,Thriller,Fantasy,Adult Fiction"
117,The Call of Cthulhu and Other Weird Stories (Paperback),H.P. Lovecraft,1926,4.17,44059,"Horror,Fiction,Classics,Short Stories,Fantasy,Science Fiction,Gothic,Fantasy,Literature,Horror"
118,What Moves the Dead (Hardcover),T. Kingfisher,2022,3.99,16165,"Horror,Fantasy,Gothic,Fiction,Retellings,Adult,Mystery,Novella,Historical,Audiobook"
119,Sleeping Beauties (Hardcover),Stephen King,2017,3.73,75481,"Horror,Fantasy,Fiction,Thriller,Audiobook,Mystery,Science Fiction,Adult,Fantasy,Science Fiction"
120,The Ocean at the End of the Lane (Hardcover),Neil Gaiman,2013,4.01,561797,"Fantasy,Fiction,Magical Realism,Horror,Audiobook,Young Adult,Adult,Science Fiction Fantasy,Adult Fiction,Fantasy"
121,20th Century Ghosts (Hardcover),Joe Hill,2005,3.92,40179,"Horror,Short Stories,Fiction,Fantasy,Fantasy,Paranormal,Fantasy,Anthologies,Audiobook,Thriller"
122,Cycle of the Werewolf (Paperback),Stephen King,1983,3.66,55560,"Horror,Fiction,Fantasy,Shapeshifters,Thriller,Fantasy,Fantasy,Short Stories,Mystery,Sequential Art"
123,Swan Song (Mass Market Paperback),Robert McCammon,1987,4.28,62348,"Horror,Fiction,Apocalyptic,Fantasy,Science Fiction,Science Fiction,Science Fiction,Thriller,Audiobook,Science Fiction Fantasy"
124,Uzumaki (Hardcover),Junji Ito,2000,4.44,43883,"Sequential Art,Horror,Sequential Art,Sequential Art,Fiction,Fantasy,Cultural,Adult,Asian Literature,Graphic Novels Manga"
125,"The Drawing of the Three (The Dark Tower, #2)",Stephen King,1987,4.23,241180,"Fantasy,Fiction,Horror,Science Fiction,Adventure,Westerns,Audiobook,Science Fiction Fantasy,Thriller,Novels"
126,"Psycho (Psycho, #1)",Robert Bloch,1959,4.12,61468,"Horror,Classics,Fiction,Thriller,Mystery,Mystery,Audiobook,Suspense,Thriller,Adult"
127,The Fireman (Paperback),Joe Hill,2016,3.91,56160,"Horror,Fiction,Science Fiction,Fantasy,Thriller,Science Fiction,Apocalyptic,Audiobook,Science Fiction,Adult"
128,"Odd Thomas (Odd Thomas, #1)",Dean Koontz,2004,3.98,261934,"Horror,Fiction,Mystery,Fantasy,Thriller,Fantasy,Fantasy,Suspense,Fantasy,Audiobook"
129,The Regulators (Mass Market Paperback),Richard Bachman,1996,3.72,79079,"Horror,Fiction,Thriller,Fantasy,Fantasy,Audiobook,Suspense,Science Fiction,Novels,Adult"
130,The Hunger (Hardcover),Alma Katsu,2018,3.63,23074,"Horror,Historical,Fiction,Historical,Mystery,Adult,Thriller,Fantasy,Fantasy,Audiobook"
131,Watchers (Paperback),Dean Koontz,1987,4.18,158824,"Horror,Fiction,Thriller,Science Fiction,Mystery,Suspense,Fantasy,Thriller,Animals,Fantasy"
132,Things Have Gotten Worse Since We Last Spoke (Kindle Edition),Eric LaRocca,2021,3.04,32713,"Horror,Fiction,LGBT,Novella,Adult,Thriller,LGBT,Short Stories,Contemporary,LGBT"
133,"Mr. Mercedes (Bill Hodges Trilogy, #1)",Stephen King,2014,3.99,281468,"Fiction,Thriller,Horror,Mystery,Mystery,Audiobook,Thriller,Suspense,Adult,Mystery"
134,Slade House (Kindle Edition),David Mitchell,2015,3.81,59879,"Horror,Fiction,Fantasy,Mystery,Fantasy,Thriller,Fantasy,Audiobook,Science Fiction,Literary Fiction"
135,Scary Stories to Tell in the Dark (Paperback),Alvin Schwartz,1981,4.05,63196,"Horror,Short Stories,Fiction,Childrens,Young Adult,Childrens,Fantasy,Holiday,Fantasy,Classics"
136,The Historian (Kindle Edition),Elizabeth Kostova,2005,3.79,256716,"Fiction,Historical,Fantasy,Horror,Mystery,Paranormal,Historical,Gothic,Fantasy,Thriller"
137,Lisey's Story (Hardcover),Stephen King,2006,3.7,80259,"Horror,Fiction,Fantasy,Thriller,Mystery,Audiobook,Romance,Fantasy,Suspense,Fantasy"
138,The Bazaar of Bad Dreams (Hardcover),Stephen King,2015,3.92,55443,"Horror,Short Stories,Fiction,Fantasy,Audiobook,Thriller,Anthologies,Mystery,Adult,Fantasy"
139,"Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1)",Seth Grahame-Smith,2009,3.31,135365,"Fiction,Horror,Fantasy,Horror,Humor,Romance,Classics,Historical,Fantasy,Historical"
140,The Winter People (Hardcover),Jennifer  McMahon,2014,3.81,64136,"Horror,Mystery,Fiction,Thriller,Fantasy,Historical,Fantasy,Thriller,Suspense,Audiobook"
141,Ring Shout (Hardcover),P. Djèlí Clark,2020,4.05,23555,"Horror,Fantasy,Historical,Fiction,Novella,Historical,Adult,Audiobook,Science Fiction,Science Fiction"
142,Perfume: The Story of a Murderer (Paperback),Patrick Süskind,1985,4.03,408006,"Fiction,Classics,Historical,Horror,Mystery,Thriller,Mystery,European Literature,Historical,Novels"
143,The Complete Stories and Poems (Hardcover),Edgar Allan Poe,1849,4.38,240808,"Classics,Poetry,Horror,Fiction,Short Stories,Gothic,Mystery,Fantasy,Literature,Classics"
144,The Call of Cthulhu (Kindle Edition),H.P. Lovecraft,1928,3.98,49843,"Horror,Classics,Fiction,Short Stories,Fantasy,Science Fiction,Horror,Audiobook,Literature,Fantasy"
