Title,Author,Year,Rating,Raters,Genres
"Rosemary's Baby (Rosemary's Baby, #1)",Ira Levin,1967,4.02,128443,"Horror,Fiction,Classics,Thriller,Mystery,Fantasy,Fantasy,Fantasy,Audiobook,Suspense"
A Head Full of Ghosts (Hardcover),Paul Tremblay,2015,3.80,67033,"Horror,Fiction,Thriller,Mystery,Fantasy,Audiobook,Adult,Suspense,Fantasy,Thriller"
Firestarter (Mass Market Paperback),Stephen King,1980,3.91,212803,"Horror,Fiction,Thriller,Science Fiction,Fantasy,Fantasy,Suspense,Fantasy,Adult,Audiobook"
The Dead Zone (Mass Market Paperback),Stephen King,1979,3.95,207097,"Horror,Fiction,Thriller,Fantasy,Science Fiction,Fantasy,Mystery,Fantasy,Suspense,Audiobook"
Horrorstör (Paperback),Grady Hendrix,2014,3.66,62642,"Horror,Fiction,Humor,Mystery,Fantasy,Thriller,Adult,Fantasy,Audiobook,Paranormal"
Cell (Mass Market Paperback),Stephen King,2006,3.66,211514,"Horror,Fiction,Horror,Thriller,Science Fiction,Apocalyptic,Fantasy,Science Fiction,Science Fiction,Suspense"
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,1988,4.23,519711,"Horror,Fiction,Thriller,Mystery,Mystery,Classics,Thriller,Suspense,Novels,Adult"
"The Girl with All the Gifts (The Girl with All the Gifts, #1)",M.R. Carey,2014,3.95,211485,"Horror,Fiction,Science Fiction,Horror,Science Fiction,Apocalyptic,Fantasy,Audiobook,Thriller,Adult"
My Best Friend's Exorcism (Kindle Edition),Grady Hendrix,2016,3.97,72303,"Horror,Fiction,Young Adult,Fantasy,Audiobook,Fantasy,Thriller,Fantasy,Adult,Humor"
Horns (Hardcover),Joe Hill,2009,3.93,108997,"Horror,Fiction,Fantasy,Thriller,Mystery,Fantasy,Fantasy,Adult,Audiobook,Adult Fiction"
The Troop (Hardcover),Nick Cutter,2014,3.83,53737,"Horror,Fiction,Thriller,Science Fiction,Audiobook,Adult,Mystery,Adventure,Thriller,Adult Fiction"
The Picture of Dorian Gray (Paperback),Oscar Wilde,1890,4.11,1290220,"Fiction,Classics,Horror,Fantasy,Gothic,Literature,Novels,Literature,LGBT,Classics"
The Turn of the Screw (Paperback),Henry James,1898,3.40,137188,"Classics,Horror,Fiction,Gothic,Mystery,Audiobook,Literature,Literature,Paranormal,Fantasy"
"Something Wicked This Way Comes (Green Town, #2)",Ray Bradbury,1962,3.92,119212,"Horror,Fantasy,Fiction,Classics,Science Fiction,Young Adult,Holiday,Audiobook,Mystery,Science Fiction Fantasy"
Bag of Bones (Paperback),Stephen King,1998,3.91,188128,"Horror,Fiction,Thriller,Mystery,Fantasy,Fantasy,Suspense,Fantasy,Paranormal,Audiobook"
The Tommyknockers (Mass Market Paperback),Stephen King,1987,3.58,141468,"Horror,Fiction,Science Fiction,Thriller,Fantasy,Science Fiction,Fantasy,Fantasy,Suspense,Audiobook"
Thinner (Mass Market Paperback),Richard Bachman,1984,3.76,195782,"Horror,Fiction,Thriller,Fantasy,Fantasy,Fantasy,Mystery,Suspense,Audiobook,Novels"
Under the Dome (Hardcover),Stephen King,2009,3.91,282751,"Horror,Fiction,Science Fiction,Thriller,Fantasy,Mystery,Audiobook,Suspense,Adult,Science Fiction"
The Final Girl Support Group (Hardcover),Grady Hendrix,2021,3.56,81371,"Horror,Thriller,Fiction,Mystery,Thriller,Adult,Audiobook,Contemporary,Suspense,Adult Fiction"
The Institute (Hardcover),Stephen King,2019,4.20,216734,"Horror,Fiction,Thriller,Science Fiction,Fantasy,Audiobook,Mystery,Fantasy,Thriller,Adult"
Missing,Missing,0,0,0,",,,,,,,,,,,,,,"
Missing,Missing,0,0,0,",,,,,"
The Dark Half (Paperback),Stephen King,1989,3.80,134645,"Horror,Fiction,Thriller,Fantasy,Fantasy,Mystery,Audiobook,Suspense,Fantasy,Novels"
Skeleton Crew (Paperback),Stephen King,1985,3.97,118848,"Horror,Short Stories,Fiction,Fantasy,Thriller,Anthologies,Fantasy,Science Fiction,Audiobook,Anthologies"
"The Gunslinger (The Dark Tower, #1)",Stephen King,1982,3.93,568255,"Fantasy,Fiction,Horror,Science Fiction,Westerns,Audiobook,Adventure,Science Fiction Fantasy,Thriller,Apocalyptic"
